Principle,Agent,Question,Openai Score,Groq Score,Irfan,Fadi,Chathurangi,Aryaman,Moji,Renjith,New Agent 
reliability,p,What materials are needed for the manufacturing process?,4,4,5,4,5,4,4,4,I
reliability,p,What are the safety protocols for the manufacturing process?,4,3,3,3,4,4,5,4,I
reliability,p,How to set up the toy rocket manufacturing machine?,4,4,3,4,5,4,5,5,I
reliability,f,What all features are used for the Vegemite yeast forecasting model?,4,4,3,3,3,4,3,4,F
reliability,f,Explain the hyperparameters used in the Foresight agent.,4,5,3,4,5,3,4,5,F
reliability,c,List the 5 capabilities of the causal analysis agent.,4,4,3,3,5,4,5,4,C
reliability,c,What are the questions that can be answered about Root Cause Analysis?,4,5,3,4,5,4,5,5,C
reliability,p,What are the emergency procedures in case of a malfunction?,4,4,4,3,4,4,4,4,I
reliability,p,How should we calibrate the sensors in the manufacturing setup?,4,4,3,4,5,3,5,5,I
reliability,p,How to document the production cycle for future reference?,4,4,5,5,5,5,5,5,I
reliability,p,"What is the anomaly status when sensor values for I_R02_Gripper_Pot, I_R03_Gripper_Pot and I_R04_Gripper_Pot are 690, 434, 700?",3,4,3,4,5,5,2,5,P
reliability,p,Give an overview of the toy rocket manufacturing pipeline.,4,4,5,3,5,5,5,5,P
consistency,p,Explain the functionality of the I_RO3_Gripper_Pot.,3,4,4,5,4,5,5,4,I
consistency,p,What is the use of Potentiometer 3?,3,4,5,5,5,5,5,5,I
consistency,f,What is the dataset used in Foresight agent?,4,4,5,5,5,5,5,5,F
consistency,f,Explain the data used in the Vegemite production pipeline.,4,5,3,4,4,4,4,4,F
consistency,f,Where is the LSTM model used in the Foresight agent?,3,4,5,4,5,4,5,5,F
consistency,f,How are predictions made in the Vegemite production pipeline?,4,4,3,5,3,5,5,3,F
consistency,c,What are SmartPilot’s causal capabilities powered by?,4,4,4,4,5,4,4,5,C
consistency,c,List the 5 capabilities of the causal analysis agent.,3,4,4,3,4,4,5,4,C
consistency,c,Explain how Smartpilot does Bootstrapped Stability Analysis.,4,5,4,4,5,4,5,5,C
consistency,c,How does Smartpilot evaluate causal edge robustness?,3,4,4,5,5,5,5,5,C
consistency,f,What are the historical data that vegemite dataset contains?,5,5,4,5,5,5,5,5,F
consistency,p,What sensors are connected to robot 3?,4,5,4,4,5,4,5,5,I
consistency,p,5,4,5,5,5,5,5,5,5,I
consistency,p,What are the sensors in robot 6?,4,5,5,5,5,5,5,5,I
consistency,p,Give me the sensors connected to the robot 6?,4,5,5,5,5,5,5,5,I
consistency,p,What is the function of I_R04_Gripper_Pot?,4,5,3,5,5,5,5,,I
consistency,p,Trace the path from Robot 3 to its sensor values,5,5,5,5,5,5,5,5,I
consistency,p,"What is the data path from Robot 3 to its sensors?
",5,5,5,5,5,5,5,5,I
abstraction,p,"What are the specs of the sensor I_R03_Gripper_Load
",4,4,4,3,5,4,5,5,I
abstraction,c,"How does causal discovery work? How is the casual graph made?
",4,4,5,4,5,4,5,5,C
abstraction,f,"Explain the hyperparameters used in the Foresight agent.
",3,3,3,3,4,3,3,4,F
abstraction,c,"Explain DIFFAN in the context of the causal discovery agent in Smartpilot.
",4,3,3,5,5,5,3,5,C
abstraction,c,"What are the evaluation procedures used in causal discovery?
",4,3,4,5,5,5,5,5,C
abstraction,f,What are the features used to predict the vegemite yield?,5,5,5,5,5,5,5,5,F
abstraction,p,Tell me about the anomalies,5,5,5,5,5,5,5,5,P
reasoning,p,"What is the use of Potentiometer 3?
",4,4,5,5,5,5,5,5,I
reasoning,f,"Explain the data used in the Vegemite production pipeline.
",4,3,2,3,2,3,3,2,F
reasoning,f,"How are predictions made in the Vegemite production pipeline?
",4,4,3,5,4,5,3,4,F
reasoning,c,"What are SmartPilot’s causal capabilities powered by?
",3,4,5,4,5,4,4,5,C
reasoning,c,How does Smartpilot evaluate causal edge robustness?,3,4,3,5,5,5,5,5,C
reasoning,c,"Which variables have a direct causal effect on I_R03_Gripper_Load?

",4,5,5,5,5,5,5,5,C
reasoning,c,"What directly causes I_R03_Gripper_Load?
",5,5,5,5,5,5,5,5,C
reasoning,c,"Which is more likely to be the root cause of variable I_R04_Gripper_Pot, I_R02_Gripper_Pot or I_R01_Gripper_Pot?
",4,5,5,5,5,5,5,5,C
reasoning,c,"If I_R02_Gripper_Pot were set to 10.5, what would be the effect on I_R04_Gripper_Load?",4,4,3,3,4,4,5,4,C
planning,c,"How is the final causal graph made by the causal agent?
",4,5,3,5,5,5,5,5,C
planning,p,How is the anomaly prediction done?,4,4,3,4,5,4,4,5,P
attribution,f,"I want to predict the next hour yield for a yeast production plant. Explain the hyperparameters of the model in your database for this purpose.


",4,4,3,3,5,3,3,5,F
attribution,p,"Explain the functionality of the I_RO3_Gripper_Pot.
",3,4,5,5,5,5,5,5,I
attribution,c,"What are the questions that can be answered about Root Cause Analysis?
",5,5,3,4,5,4,5,5,C
attribution,p,"How is the anomaly prediction done?
",4,4,5,3,5,3,3,5,P
attribution,c,"Explain how Smartpilot does Bootstrapped Stability Analysis.
",4,4,4,3,5,4,4,5,C
attribution,p,Who manufactures the sensor I_R02_Gripper_Load?,5,5,5,5,5,5,5,5,I
grounding,p,"What type of sensor observes variable Q_VFD1_Temperature?
",4,5,5,5,5,5,5,5,I
grounding,p,"What is the range of I_R04_Gripper_Load?
",4,5,5,5,5,5,5,5,I
grounding,p,What are the tolerance limits of the sensor I_R03_Gripper_Load?,4,5,5,5,5,5,5,5,I
grounding,p,What are the types of anomalies associated with sensor I_R02_Gripper_Pot?,4,4,5,5,5,5,5,5,P
causality,c,"does I_R01_Gripper_Pot cause I_R03_Gripper_Pot
",5,5,5,5,5,5,5,5,C
causality,c,"does I_R01_Gripper_Pot cause I_R03_Gripper_Load
",5,5,5,5,5,5,5,5,C
causality,c,is there a causal relation between I_R01_Gripper_Pot and I_R04_Gripper_Pot,5,5,5,5,5,5,5,5,C
causality,c,"is there a causal relation between I_R02_Gripper_Pot and I_R04_Gripper_Load
",4,5,5,5,5,5,5,5,C
causality,c,"Show causal parents of I_R02_Gripper_Load
",5,4,5,3,5,5,5,5,C
causality,c,"what is the strength of the causal relation between I_R01_Gripper_Pot and I_R04_Gripper_Load ?
",5,3,5,4,5,4,3,5,C
causality,c,"Which variable has the strongest causal effect on I_R04_Gripper_Pot ?
",5,5,5,5,5,5,4,5,C
causality,c,"If I_R02_Gripper_Pot were set to 10.5, what would be the effect on I_R04_Gripper_Pot
",5,4,4,2,5,4,3,5,C
causality,c,"What is the most likely root cause of the anomalous value of variable I_R04_Gripper_Pot
",5,5,5,5,5,5,5,5,C
causality,c,"Is I_R03_Gripper_Pot a likely root cause of the anomalous value of variable I_R04_Gripper_Pot ?
",5,5,5,5,5,5,5,5,C
causality,c,"Is I_R02_Gripper_Pot a likely root cause of the anomalous value of variable I_R01_Gripper_Pot ?
",5,5,5,5,5,5,3,5,C
causality,c,"Is I_R01_Gripper_Pot a likely root cause of the anomalous value of variable I_R02_Gripper_Pot ?
",5,4,4,4,5,4,3,5,C
causality,c,"Why is I_R01_Gripper_Pot not considered a likely root cause of the anomalous value of variable I_R03_Gripper_Pot
",5,4,4,4,5,4,5,5,C
causality,c,Why is I_R02_Gripper_Pot not considered a likely root cause of the anomalous value of variable I_R01_Gripper_Pot,5,3,5,5,5,5,5,5,C
interpretability,p,"What are the specs of the sensor I_R03_Gripper_Load
",4,4,3,3,5,4,5,5,I
interpretability,c,"How does causal discovery work? How is the casual graph made?
",4,4,5,4,5,4,5,5,C
interpretability,f,"Explain the hyperparameters used in the Foresight agent.
",3,3,3,3,4,3,3,4,F
interpretability,c,"Explain DIFFAN in the context of the causal discovery agent in Smartpilot.
",4,3,2,5,5,5,3,5,C
interpretability,c,"What are the evaluation procedures used in causal discovery?
",4,3,3,5,5,5,5,5,C
interpretability,f,What are the features used to predict the vegemite yield?,5,5,5,5,5,5,5,5,F
interpretability,p,Tell me about the anomalies,5,5,5,5,5,5,5,5,P
explainability,p,explainability q1,5,5,5,5,5,5,5,5,P
explainability,c,explainability q2,5,5,5,5,5,5,5,5,C
explainability,f,explainability q3,5,5,5,5,5,5,5,5,F
explainability,i,explainability q4,5,5,5,5,5,5,5,5,I
